id,Adresse,Annee_construction,Superficie,GES,Electricite_GJ_moyenne_4_ans,Gaz_naturel_GJ_moyenne_4_ans,Mazout_GJ_moyenne_4_ans
1163,4101 Rue Sherbrooke E,2014,38010.0,1585.2450000000001,13041.8712,31623.619,0.0
1273,2269 Rue Viau,1996,9200.01,1071.05,5465.12,21233.188000000002,0.0
514,2980 Rue Viau,1958,18789.02,445.35173846,3941.76851,9210.135333333334,0.0
2,775 Rue Gosford,1913,25395.0,674.43,12221.0172,0.0,0.0
154,5485 Chemin de la Côte-Saint-Paul,1954,20608.0,674.29,13601.034,13384.056,0.0
575,7355 Avenue Christophe-Colomb,1980,17021.02,528.3000000000001,5904.520533333333,10422.290666666666,0.0
868,12125 Rue Notre-Dame E,1914,14179.01,532.12424327,6317.69892,10482.372,0.0
105,1500 Rue des Carrières,1929,12025.0,515.62,4332.7872,10285.232,0.0
196,3440 Rue Jarry E,1968,8780.0,456.03,6882.8112,9071.094,0.0
2464,4880 Avenue Van Horne,1997,6302.0,447.78,4392.162,8926.846,0.0
25,200 Rue de Bellechasse,1929,16057.0,399.61,3772.656,7967.574,0.0
1106,10351 Rue Sherbrooke E,,7042.0,386.04,5491.9331999999995,7681.662,0.0
110,1600 Rue De Drucourt,1960,7527.0,371.09,5283.4752,7384.084,0.0
2383,2060 Rue Dickson,1991,14442.01,589.77059202,3993.7833,11611.8545,0.0
2406,3444 Rue Saint-Joseph E,1975,6523.0,356.49,2111.5908,7118.312,0.0
248,5035 Rue de Rouen,1965,3847.0,337.86,1647.216,6749.37,0.0
113,1350 Rue des Carrières,1956,5959.0,335.67,2821.6908,6695.7519999999995,0.0
891,1301 Rue Sherbrooke E,1952,18320.02,311.624013414,6109.92239,6122.888,0.0
138,2140 Avenue Madison,1960,7691.01,357.23,3363.124266666667,7042.152666666666,0.0
2463,1825 Rue Notre-Dame O,1997,4841.0,277.545,2560.8216,5499.682,0.0
1716,5655 Boulevard Pie-IX,2017,7405.0,313.56,89.064,6275.965999999999,0.0
175,2235 Rue Michel-Jurdant,2004,3456.0,248.96171775200003,2244.4349599999996,4910.849,0.0
183,3131 Boulevard Rosemont,1949,4229.0,303.15,1434.1932,6056.2119999999995,0.0
2390,2633 Rue Ontario E,1995,7472.01,278.130036038,4080.0387499999997,5472.2575,0.0
3665,2580 Boulevard Saint-Joseph,1964,9348.01,270.59888758200003,13202.3989,5269.638,0.0
152,5311 Chemin de la Côte-Saint-Antoine,1931,5174.0,249.2,1169.2223999999999,4978.532,0.0
763,1515 Boulevard du Tricentenaire,1972,9309.0,246.8,9169.8984,4863.772,0.0
431,1196 Voie Camillien-Houde,1931,4389.0,169.075,867.53016,0.0,2352.7617
1051,6700 Rue Notre-Dame E,1961,4600.0,220.356000712,2364.03974,4341.8635,0.0
3687,7700 Boulevard Langelier,1999,5635.01,207.845,4385.8982,4103.459,0.0
1078,8850 Avenue Dubuisson,2013,4398.0,210.02,2968.5584,4134.041,0.0
976,2275 Boulevard Saint-Joseph E,1962,6970.01,201.68999999999997,3678.107786666667,3970.22,0.0
889,12515 Boulevard Rodolphe-Forget,1990,4781.0,282.57,5207.403066666667,5550.920000000001,0.0
2359,3535 36e Avenue,1972,3884.0,220.48,1944.6155999999999,4397.17,0.0
263,1055 Rue d' Hibernia,1960,5226.0,218.91,4384.8252,4345.376,0.0
609,5633 Rue Saint-Dominique,1981,3638.0,131.55999999999997,2249.6940133333333,2596.538666666667,0.0
3249,4555 Rue Hochelaga,1963,3688.0,197.95184439399998,4994.48657,3883.5384999999997,0.0
337,400 Avenue Ball,2005,2077.0,187.603157678,1428.5283,3699.6459999999997,0.0
2522,6000 Rue Notre-Dame O,1992,5415.01,179.71441225,2803.38791,3536.4435,0.0
608,850 Avenue Émile-Journault,1981,3917.0,202.07,4641.0372,4006.188,0.0
631,9235 Avenue Papineau,2015,11341.0,199.02,5570.9892,3937.37,0.0
3685,855 Boulevard Crémazie E,1991,8452.01,180.46249999999998,9482.39628,3511.591,0.0
1741,1870 Rue Davidson,1983,3896.0,198.046095406,2072.8058499999997,3900.7865,0.0
4485,9091 Boulevard Henri-Bourassa O,1972,23040.0,183.86,307.152,3677.754,0.0
44,999 Rue de Louvain E,1966,4063.0,180.22,933.3036,3599.7019999999998,0.0
107,1610 Rue des Carrières,1960,3250.0,176.87,1486.2132,3527.996,0.0
4490,6445 Avenue de Monkland,2011,5147.0,209.2266666666667,4631.91148,4105.921333333334,0.0
626,7959 16e Avenue,1961,2590.0,171.24,1010.232,3419.43,0.0
2621,7000 Boulevard Maurice-Duplessis,2010,15587.02,162.10500000000002,5669.4429,3184.16,0.0
482,11301 Boulevard de l' Acadie,1971,3977.0,169.31,3211.7364,3362.392,0.0
450,2800 Rue Viau,1959,25599.0,164.46,6334.495199999999,3230.5319999999997,0.0
3238,4398 Boulevard LaSalle,1967,5403.01,142.6293215,2301.83,2806.3545000000004,0.0
3031,7650 Boulevard Châteauneuf (ANJ),1976,5844.0,158.68,6778.08,3119.8379999999997,0.0
315,10560 Rue Saint-Hubert,1970,3796.0,159.530786766,3289.98564,3131.004,0.0
104,2111 Rue Saint-Zotique E,1931,3292.0,129.85666666666665,2101.7584533333334,2557.096666666667,0.0
560,3430 Rue de Bellechasse,1976,18880.0,139.4,16132.6908,2655.8579999999997,0.0
276,6750 Rue de Marseille,1970,3375.0,140.09,3757.2804,2772.86,0.0
293,7047 Rue Saint-Dominique,1931,2762.0,127.61000000000001,293.5646,2532.764,0.0
480,8780 Avenue Dubuisson,1971,3557.0,169.40333333333334,3323.1562800000006,3327.2533333333336,0.0
3114,820 Rue Saint-Germain,1961,3591.0,103.90750000000001,1666.70667,2045.9160000000002,0.0
191,5375 1re Avenue,1965,3760.0,125.74,1190.5488,2507.0119999999997,0.0
2022,1501 Rue Bercy,2001,2888.0,143.56333333333333,2208.0733333333333,2824.154666666667,0.0
1,275 Rue Notre-Dame E,1878,67288.07,628.3866666666667,22376.145879999996,1096.8713333333333,0.0
212,4040 Avenue du Parc,1930,2886.0,121.23,2275.0128,2407.718,0.0
481,3175 Rue de Rouen,1971,3405.0,120.65,3735.7092,2383.968,0.0
101,1875 Avenue Morgan,1916,2457.0,116.44,1102.0392,2321.686,0.0
601,1696 Rue Montcalm,1981,4162.0,89.85333333333334,4508.258959999999,1750.8086666666668,0.0
77,5 Avenue Laurier O,1905,2192.0,94.533060846,374.06582,1867.004,0.0
435,2150 Rue Dickson,1958,2208.0,107.31,900.5364,2140.578,0.0
285,1210 Rue Sherbrooke E,1917,7412.01,105.16391350800001,2743.8466500000004,2061.6409999999996,0.0
978,10300 Rue Lajeunesse,1948,6348.01,87.23394271999999,2152.2542999999996,1712.415,0.0
4201,2349 Rue de Rouen,1906,3025.0,105.23,424.49039999999997,2102.92,0.0
747,75 Rue du Square-Sir-George-Étienne-Cartier (,1958,5591.0,104.44,742.6224,2084.49,0.0
317,6040 Boulevard Monk,1960,3226.0,91.86674507,1509.4909599999999,1807.313,0.0
12,155 Rue Notre-Dame E,1857,14218.0,102.14,6699.312,0.0,0.0
755,5319 Avenue Notre-Dame-de-Grâce,1955,2819.0,91.11333333333334,308.45884,1801.5259999999998,0.0
280,523 Place Saint-Henri,1930,3210.0,88.35247925,1236.10263,1739.0615,0.0
1058,21253 Boulevard Gouin O,1961,2190.0,47.875,525.1707,0.0,1341.5742
2552,6960 Avenue de Darlington,1997,2228.0,93.93,1297.4615999999999,1869.4479999999999,0.0
3725,944 Rue Saint-Paul O,1966,2742.0,82.82000000000001,2087.35512,1625.027,0.0
455,8000 Rue De Normanville,1958,3415.0,90.86,1645.4196,1805.076,0.0
3070,1300 Avenue Dollard (LSL),1976,3931.0,89.02,3322.8612,1754.232,0.0
762,14201 Rue Sherbrooke E,1972,2118.0,77.580800256,996.8443599999999,1527.892,0.0
64,8650 Avenue Querbes,1979,3772.0,129.0533333333333,2828.298546666667,2529.8446666666664,0.0
795,5350 Rue Lafond,1965,4528.0,77.531188966,1994.8328900000001,1520.8829999999998,0.0
3679,1441 Rue Saint-Urbain,1957,14329.01,87.37562003400001,16267.476579999999,1629.3505,0.0
190,8100 Boulevard Saint-Michel,1968,2818.0,73.235,690.66616,1443.6709999999998,0.0
159,5115 Rue Rivard,1967,2269.0,75.09,397.79916000000003,1483.5439999999999,0.0
84,4375 Rue Ontario E,1914,3439.0,74.78000000000002,663.4816533333333,1474.8546666666668,0.0
869,5550 Rue Angers,1959,2766.0,59.805169956,819.11344,1177.368,0.0
578,5670 Rue Chauveau,1959,3872.0,58.7434177,1500.1365999999998,1152.0104999999999,0.0
2459,9001 Boulevard Perras,1995,2286.0,53.33,1243.3418000000001,1050.489,0.0
3015,530 Boulevard Bouchard (DVL),1965,3361.0,50.71,1873.152,999.552,0.0
3330,3175 Chemin Remembrance,1961,2567.0,50.21,2459.2212,984.5799999999999,0.0
297,4985 Avenue West Hill,1970,3728.0,41.81758033,4167.799069999999,802.2235,0.0
610,4988 Rue Vézina,1982,3620.0,62.916666666666664,3902.5720266666667,1217.7246666666667,0.0
2558,85 Rue Notre-Dame E,1905,5763.0,37.9,2467.7784,0.0,0.0
2453,3680 Rue Jeanne-Mance,1910,4847.0,38.947266344,2983.37106,751.528,0.0
528,9175 Boulevard Perras,1978,3922.0,110.25666666666666,5345.36792,2138.2226666666666,0.0
407,4040 Rue Sherbrooke E,1918,2484.0,31.270130156,969.28122,612.5740000000001,0.0
260,3400 Boulevard des Trinitaires,1968,4052.0,35.04,1474.0092,689.054,0.0
2402,4777 Avenue Pierre-De Coubertin,1976,34875.03,20.282373072000002,67218.71306,0.0,0.0
2547,1033 Rue Rachel E,1990,2313.0,27.193915880000002,2650.58166,521.9365,0.0
240,500 Boulevard Rosemont,2013,3619.0,30.62,2361.1572,593.332,0.0
353,2450 Rue Workman,1904,2045.0,21.400000000000002,1108.59896,416.68,0.0
177,3616 Rue Hochelaga,1931,2923.0,32.63333333333333,1882.2185333333334,632.0966666666667,0.0
95,1000 Avenue Émile-Journault E,1976,53494.05,137.87732842999998,42216.441960000004,2461.6499999999996,0.0
1061,6150 Avenue Royalmount,1985,4376.0,46.394999999999996,2647.6776,899.906,0.0
986,14001 Rue Notre-Dame E,1998,3416.0,29.726666666666663,1646.81876,575.9926666666667,0.0
9322,505 Boulevard de Maisonneuve E,1954,7062.0,18.44,0.0,369.20799999999997,0.0
1803,3933 Avenue du Parc-La Fontaine,2022,2643.0,18.0,1642.5467999999998,346.598,0.0
151,3755 Rue Botrel,1912,3224.0,15.086666666666666,2806.6192800000003,279.7386666666667,0.0
321,7650 Boulevard Maurice-Duplessis,2004,2070.0,37.15,2611.9626,717.7379999999999,0.0
1043,12090 Rue Notre-Dame E,1990,4250.0,7.592337220000001,2271.8862200000003,139.0185,0.0
142,6767 Chemin de la Côte-des-Neiges,1976,8066.0,2.31,5552.3844,0.0,0.0
3686,2805 Boulevard Thimens (SLR),1986,4195.0,1.81,4348.9583999999995,0.0,0.0
3956,1248 Avenue Bernard (OUT),1929,3016.0,1.71,4113.4068,0.0,0.0
1033,6400 Avenue de Monkland,2015,5881.0,1.66,3995.442,0.0,0.0
811,8105 Rue Hochelaga,1987,4970.0,0.8066666666666666,2435.2119333333335,0.0,0.0
709,5290 Chemin de la Côte-des-Neiges,1982,3477.0,1.09,2616.75,0.0,0.0
98,4200 Rue Ontario E,1907,2124.0,0.607697464,2006.1071,0.0,0.0
1303,251 Avenue des Pins O,1858,10153.0,0.94,2247.9336,0.0,0.0
194,7601 Rue François-Perrault,1968,2437.0,0.64,1976.2739333333332,0.0,0.0
2369,5434 Avenue du Parc,1992,2299.0,0.54,1303.776,0.0,0.0
479,4355 Rue Cartier,1973,3145.0,39.93,2755.248,773.75,0.0
2175,4581 Rue Sherbrooke E,2021,2192.0,0.26,629.856,0.0,0.0
6574,7500 Rue Saint-Denis,1974,5100.0,0.07,163.9512,0.0,0.0
3094,41 av Saint-Just,1993,2364.0,0.64,2020.8958200000002,0.0,0.0
3096,"999, ave McEachran",1986,8178.01,51.75,9112.17528,975.21,0.0
3032,"7171, rue Bombardier, Anjou",1977,4996.0,388.99,2588.544,7764.958,0.0
3035,"8750, ave Chaumont, Anjou",1976,5070.0,243.87,3183.8399999999997,4854.994,0.0
3207,1925 rue Saint-Antoine,1937,4180.6,84.78999999999999,3433.37,1674.643,0.0
3434,2200 rue Saint-Antoine,1982,11612.91,275.34666666666664,3081.106773333333,5430.7373333333335,0.0
3018,1800 boul Saint-Joseph,1914,3251.6,76.05666666666667,2091.91972,1491.9513333333332,0.0
3029,3100 rue Saint-Antoine,1975,2487.0,0.511376216,1743.00611,0.0,0.0
3068,55 av Dupras,1930,7977.01,389.10114093199996,5805.14863,7652.253500000001,0.0
3069,7277 rue Cordner,1990,11378.01,384.53251474599995,5372.30163,7563.646,0.0
3071,1080 av Dollard,1981,2833.0,0.0,0.0,0.0,0.0
1396,707 av 75e,2014,6048.01,89.845,3921.696,1761.3,0.0
3073,8681 boul Champlain,1961,5016.0,211.24,7085.815750000001,4127.9025,0.0
3074,1411 rue Lapierre,1991,4892.0,358.70815363199995,6185.77323,7049.155000000001,0.0
3209,7644 rue Édouard,1926,2469.0,24.9275,1972.2807199999997,481.273,0.0
3191,11121 av Salk,1959,3619.0,101.113565602,426.85804,1995.7635,0.0
3905,4260 rue de Charleroi,1977,4674.0,129.51,982.1196,2584.19,0.0
3088,3700 rue Fleury E,1978,3822.0,148.247347714,4193.599639999999,2903.4505,0.0
3089,11212 av Garon,1963,8334.01,45.615,2733.76584,1792.308,0.0
4109,4242 Place de l'Hôtel-de-Ville,,2966.0,1.2,2884.3704,0.0,0.0
1112,"14 150, boul Gouin O",,2429.0,17.46,1770.9804,334.666,0.0
3100,"13 665, boul de Pierrefonds",1932,2299.0,0.89,2140.8984,0.0,0.0
3101,"13 555, boul de Pierrefonds",1983,4599.0,54.09,2277.0684,1063.81,0.0
3161,5115 rue des Galets,1983,2857.0,329.25,0.0,6590.796,0.0
3144,8400 -8420 Lacordaire,1979,2947.0,0.75,1794.6684,0.0,0.0
1333,13001 boul. Cavendish,1981,12394.01,444.52055677,6208.723320000001,8740.296999999999,0.0
3110,1375 rue Grenet,1993,9105.01,308.20244325600004,4292.90057,6062.327499999999,0.0
3112,2345 boul. Thimens,1968,6707.01,129.18,5359.3,2523.45,0.0
3109,777 boul. Marcel-Laurin,1956,6495.01,2.0025000000000004,6748.65993,0.0,0.0
850,2727 boul. Thimens,2013,6500.01,1.408732998,4757.32255,0.0,0.0
849,2385 boulevard Thimens,2017,13489.01,295.382400554,11579.57276,5772.767,0.0
3132,4555 rue de Verdun,1958,6203.0,126.39,1825.9992,2514.84,0.0
3234,4110 boul LaSalle,1939,9723.01,261.22,8054.29152,5115.094,0.0
3235,260 rue Elgar,1979,2835.0,3.7566666666666664,2755.044533333333,55.800000000000004,0.0
864,10851 Av. Saint-Charles,1986,6209.01,1.6118475146666666,6223.0163600000005,,
3237,1177 Rue Dupuis,1990,7902.01,265.84006933333336,3803.70812,5210.733333333334,
109,1350 Rue Carrières,1956,22985.02,824.0379185840001,9384.737826666666,16163.966666666667,
3101,13555 Boul. Pierrefonds,1983,4599.0,64.259151152,2499.799106666667,1251.4333333333334,
3100,13665 Boul. Pierrefonds,1932,2299.0,0.5335874613333332,2093.2046266666666,,
1112,14150 Boul. Gouin,1988,2429.0,16.569475413333333,1841.968786666667,316.7,
1141,1455 Rue Bercy,2016,6765.01,238.61298896533333,4631.317613333334,4670.733333333333,
1358,160 Ch. Tour-de-l'Isle,1967,5199.01,1.8246489493333333,5801.6064400000005,,
5,330 Rue Saint-Paul E,1847,16219.02,298.26300128266666,8743.8,5823.733333333334,
1163,4101 rue Sherbrooke,2014,42689.04,3296.992710418667,25013.75356,64736.63333333334,
3084,4243 Rue de Charleroi,1916,2999.0,0.6881084373333334,2680.71488,,
191,5375 Av. 1re,1965,3760.0,76.77190419733334,1123.1247866666665,1504.6000000000001,
276,6750 Rue Marseille,1970,3374.0,106.43686112799999,3864.3199466666665,2074.433333333333,
142,6767 Ch. Côte-des-Neiges,1976,7299.01,1.17110296,4575.927,,
2552,6960 Rue Darlington,1997,2100.0,82.385148512,1433.1751866666666,1613.5,
3032,7171 Rue Bombardier,1977,5995.01,240.197191976,2693.921093333333,4711.8,
1867,7501 Av. Rondeau,2023,4200.0,0.7033333333333335,2785.1664266666667,,
8091,8200 Av. Chénier,1968,3885.0,114.07333333333334,4557.919573333334,2221.1666666666665,
3035,8750 Av. Chaumont,1976,5531.01,230.69000000000003,3756.1797600000004,4519.833333333333,
1074,8931 Av. Papineau,2009,7999.01,68.18666666666667,2037.7056533333334,1331.2,
44,999 Rue Louvain E,1966,12776.01,167.55666666666664,2294.364146666667,3284.433333333333,
3956,1248 Av. Bernard,1929,1792.0,0.71,3539.54304,,
2452,350 Pl. Royale,1992,7493.01,173.61,8953.19892,3380.3,
248,5035 Rue Rouen,1965,3847.0,300.26,1627.776,5900.8,
3134,5955 Rue Bannantyne,1966,1995.0,40.46,766.8,792.9,
3031,7650 Boul. Châteauneuf,1976,5844.01,130.8,5523.55236,2551.5,
626,7959 Av. 16e,1961,2590.0,191.44,945.41076,3762.6,
8324,10125 Rue Parthenais,1957,3243.0,111.64,271.49636,2194.8500000000004,
263,1055 Rue Hibernia,1960,5227.01,203.885,4041.67976,3988.65,
482,11301 Boul. Acadie,1971,3443.0,188.45499999999998,3329.6196600000003,3688.8500000000004,
3070,1300 Av. Dollard,1976,3931.0,52.86,2930.9784,1023.6999999999999,
763,1515 Boul. Tricentenaire,1972,8701.01,297.30999999999995,8005.27678,5804.15,
8662,2550 Rue Ontario E,1992,7543.01,98.825,3376.8786200000004,1925.15,
3686,2805 Boul. Thimens,1986,3523.0,1.1,3903.8959800000002,,
3206,2901 Boul. Saint-Joseph,1862,1765.2,44.769999999999996,894.9920999999999,875.8,
481,3175 Rue Rouen,1971,3405.0,115.38499999999999,4017.15238,2247.5,
260,3400 Boul. Trinitaires,1968,4052.0,0.435,1577.7345,,
2359,3535 Av. 36e,1972,3531.0,82.36500000000001,1676.93108,1611.0500000000002,
68,3933 Av. Parc-La Fontaine,1952,2259.0,61.545,3149.33424,1193.1,
709,5290 Ch. Côte-des-Neiges,1982,3477.0,0.69,2425.7724399999997,,
152,5311 Ch. Côte-Saint-Antoine,1931,5174.01,235.34,1127.12966,4623.6,
121,5354 Av. Gatineau,1908,2912.0,60.849999999999994,2129.69834,1185.05,
1033,6400 Av. Monkland,2015,5881.01,0.9550000000000001,3302.6578,,
57,75 Rue Ontario,1963,5028.0,141.065,1027.9406,2769.3999999999996,
2619,7675 Rue Colbert,2010,8755.01,0.305,1096.3405,,
1062,7800 Boul. Métropolitain E,1989,5600.01,0.595,2067.41118,,
455,8000 Rue Normanville,1958,3415.0,80.75,1265.2978,1581.4,
3144,8400 boul. Lacordaire,1979,16554.02,581.895,17054.78656,11352.45,
110,1600 Rue Drucourt,1960,7527.01,245.09,5846.4,4802.2,
4201,2349 Rue Rouen,1906,3025.0,95.57,430.3,1878.8,
3330,3175  rue Remembrance,1961,2567.0,49.39,2449.7,963.5,
560,3430 Rue Bellechasse,1976,18309.02,107.46,15320.6,2062.8,
2406,3444 Boul. Saint-Joseph E,1975,6523.01,0.41,2423.8,,
3236,4501 Rue Bannantyne,1984,2788.0,22.08,1560.4,429.2,
2464,4880 Av. Horne,1997,6302.01,327.51,4118.1,6429.4,
154,5485 Ch. Côte-Saint-Paul,1954,20608.02,378.26,14169.0,7394.2,
747,75 Rue Square-Sir-George-Étienne-Cartier,1958,5591.01,105.01,675.3,2063.7,
